행정구역,2020년_거주자_20~29세,2020년_거주자_30~39세,2020년_거주자_40~49세,2020년_남_거주자_20~29세,2020년_남_거주자_30~39세,2020년_남_거주자_40~49세,2020년_여_거주자_20~29세,2020년_여_거주자_30~39세,2020년_여_거주자_40~49세
경기도 수원시 (4111000000),185979 ,177436 ,200933 ,97952 ,92049 ,101175 ,88027 ,85387 ,99758 
경기도 수원시 장안구 (4111100000),43844 ,32439 ,44895 ,24000 ,16914 ,22205 ,19844 ,15525 ,22690 
경기도 수원시 장안구 파장동(4111156000),3398 ,2945 ,3641 ,1856 ,1559 ,1862 ,1542 ,1386 ,1779 
경기도 수원시 장안구 율천동(4111156600),10070 ,5829 ,6474 ,6164 ,3101 ,3223 ,3906 ,2728 ,3251 
경기도 수원시 장안구 정자1동(4111157100),4129 ,3460 ,5424 ,2204 ,1680 ,2602 ,1925 ,1780 ,2822 
경기도 수원시 장안구 정자2동(4111157200),4350 ,3621 ,5017 ,2264 ,1871 ,2453 ,2086 ,1750 ,2564 
경기도 수원시 장안구 정자3동(4111157300),6226 ,4429 ,8972 ,3229 ,2154 ,4203 ,2997 ,2275 ,4769 
경기도 수원시 장안구 영화동(4111158000),2714 ,2457 ,2859 ,1412 ,1381 ,1560 ,1302 ,1076 ,1299 
경기도 수원시 장안구 송죽동(4111159100),3036 ,2633 ,3029 ,1529 ,1373 ,1517 ,1507 ,1260 ,1512 
경기도 수원시 장안구 조원1동(4111159700),4325 ,3234 ,4445 ,2283 ,1766 ,2259 ,2042 ,1468 ,2186 
경기도 수원시 장안구 조원2동(4111159800),2979 ,2032 ,2924 ,1536 ,972 ,1346 ,1443 ,1060 ,1578 
경기도 수원시 장안구 연무동(4111160000),2617 ,1799 ,2110 ,1523 ,1057 ,1180 ,1094 ,742 ,930 
경기도 수원시 권선구 (4111300000),54334 ,57808 ,61191 ,28339 ,30156 ,31631 ,25995 ,27652 ,29560 
경기도 수원시 권선구 세류1동(4111352000),1480 ,1701 ,1457 ,748 ,913 ,764 ,732 ,788 ,693 
경기도 수원시 권선구 세류2동(4111353000),3578 ,3537 ,3648 ,1905 ,2029 ,1962 ,1673 ,1508 ,1686 
경기도 수원시 권선구 세류3동(4111354000),2720 ,2564 ,3027 ,1442 ,1405 ,1582 ,1278 ,1159 ,1445 
경기도 수원시 권선구 평동(4111355000),6359 ,5737 ,6124 ,3427 ,2992 ,3135 ,2932 ,2745 ,2989 
경기도 수원시 권선구 서둔동(4111356000),5848 ,5299 ,6038 ,3096 ,2923 ,3183 ,2752 ,2376 ,2855 
경기도 수원시 권선구 구운동(4111365000),3934 ,3232 ,3707 ,2075 ,1737 ,1901 ,1859 ,1495 ,1806 
경기도 수원시 권선구 금곡동(4111366200),6247 ,6662 ,8107 ,3205 ,3306 ,4034 ,3042 ,3356 ,4073 
경기도 수원시 권선구 호매실동(4111366400),5074 ,9231 ,8340 ,2513 ,4526 ,4438 ,2561 ,4705 ,3902 
경기도 수원시 권선구 권선1동(4111367000),5023 ,4440 ,3653 ,2521 ,2402 ,1888 ,2502 ,2038 ,1765 
경기도 수원시 권선구 권선2동(4111368000),6750 ,7937 ,8991 ,3509 ,3787 ,4357 ,3241 ,4150 ,4634 
경기도 수원시 권선구 곡선동(4111369000),5270 ,5207 ,4887 ,2811 ,2979 ,2739 ,2459 ,2228 ,2148 
경기도 수원시 권선구 입북동(4111370000),2051 ,2261 ,3212 ,1087 ,1157 ,1648 ,964 ,1104 ,1564 
경기도 수원시 팔달구 (4111500000),28814 ,24342 ,26711 ,14983 ,13155 ,13793 ,13831 ,11187 ,12918 
경기도 수원시 팔달구 매교동(4111565000),893 ,884 ,805 ,486 ,476 ,461 ,407 ,408 ,344 
경기도 수원시 팔달구 매산동(4111566000),1868 ,1633 ,1398 ,1023 ,916 ,809 ,845 ,717 ,589 
경기도 수원시 팔달구 고등동(4111567000),1197 ,1069 ,1242 ,634 ,625 ,684 ,563 ,444 ,558 
경기도 수원시 팔달구 화서1동(4111568000),3178 ,2609 ,3809 ,1604 ,1339 ,1874 ,1574 ,1270 ,1935 
경기도 수원시 팔달구 화서2동(4111569000),4122 ,3432 ,4520 ,2145 ,1673 ,2170 ,1977 ,1759 ,2350 
경기도 수원시 팔달구 지동(4111570000),1352 ,1171 ,1604 ,753 ,650 ,872 ,599 ,521 ,732 
경기도 수원시 팔달구 우만1동(4111571000),3239 ,2892 ,2969 ,1722 ,1621 ,1565 ,1517 ,1271 ,1404 
경기도 수원시 팔달구 우만2동(4111572000),3658 ,2182 ,2731 ,2001 ,1137 ,1291 ,1657 ,1045 ,1440 
경기도 수원시 팔달구 인계동(4111573000),7820 ,7190 ,6205 ,3876 ,3962 ,3208 ,3944 ,3228 ,2997 
경기도 수원시 팔달구 행궁동(4111574000),1487 ,1280 ,1428 ,739 ,756 ,859 ,748 ,524 ,569 
경기도 수원시 영통구 (4111700000),58987 ,62847 ,68136 ,30630 ,31824 ,33546 ,28357 ,31023 ,34590 
경기도 수원시 영통구 매탄1동(4111751000),3130 ,2384 ,2974 ,1743 ,1254 ,1434 ,1387 ,1130 ,1540 
경기도 수원시 영통구 매탄2동(4111752000),2496 ,1947 ,2416 ,1249 ,1057 ,1200 ,1247 ,890 ,1216 
경기도 수원시 영통구 매탄3동(4111753000),6463 ,5444 ,6778 ,3594 ,2977 ,3385 ,2869 ,2467 ,3393 
경기도 수원시 영통구 매탄4동(4111754000),3754 ,3199 ,3711 ,1996 ,1676 ,1720 ,1758 ,1523 ,1991 
경기도 수원시 영통구 원천동(4111755000),6522 ,7486 ,7230 ,3344 ,3777 ,3794 ,3178 ,3709 ,3436 
경기도 수원시 영통구 영통1동(4111757000),4908 ,5507 ,7133 ,2517 ,2671 ,3389 ,2391 ,2836 ,3744 
경기도 수원시 영통구 영통2동(4111758000),5634 ,6762 ,4228 ,3171 ,3767 ,2170 ,2463 ,2995 ,2058 
경기도 수원시 영통구 영통3동(4111758500),6470 ,4436 ,6092 ,3495 ,2302 ,2878 ,2975 ,2134 ,3214 
경기도 수원시 영통구 망포1동(4111759300),4580 ,4999 ,5867 ,2478 ,2437 ,2853 ,2102 ,2562 ,3014 
경기도 수원시 영통구 망포2동(4111759600),3397 ,5776 ,5467 ,1674 ,2803 ,2767 ,1723 ,2973 ,2700 
경기도 수원시 영통구 광교1동(4111760000),8438 ,9504 ,10751 ,3820 ,4502 ,5203 ,4618 ,5002 ,5548 
경기도 수원시 영통구 광교2동(4111761000),3195 ,5403 ,5489 ,1549 ,2601 ,2753 ,1646 ,2802 ,2736 
